,venue_id,venue_name,event_id,event_name,avg_price,season,genre,subgenre,ticket_limit,age_restriction,venue_size,promoter
67,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9g5JGUim,Motion City Soundtrack - I AM THE MOVIE 20TH ANNIVERSARY TOUR (18+),45.0,winter,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
68,KovZ917AxdQ,Big Night Live,vvG17Z9S2y6ITj,Giant Rooks,25.0,spring,Pop,Pop,8.0,False,2000,LIVE NATION MUSIC
69,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9SMOBa2U,Sleater-Kinney (18+),45.0,winter,Rock,Alternative Rock,8.0,True,933,CROSSROADS PRESENTS
70,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9Vh4nfYm,"Alkaline Trio: Blood, Hair, And Eyeballs The Tour",46.5,winter,Rock,Pop,6.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
71,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9gNUFFlh,JJ Grey & Mofro: Olustee Tour,49.5,spring,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
72,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9UhLO9v4,Blackberry Smoke: Be Right Here Tour,46.5,spring,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
73,KovZ917AxdQ,Big Night Live,vvG17Z9UOxTlgi,Starset - Immersion: The Final Chapter,30.0,spring,Rock,Pop,4.0,False,2000,LIVE NATION MUSIC
74,KovZpZAEAIvA,The Wilbur,vvG17Z9VY2oE3L,Brittany Howard: What Now Tour,68.5,winter,Rock,Pop,48.0,False,1200,COMEDY CONNECTION
75,KovZ917AxdQ,Big Night Live,vvG17Z9cMODz3w,Knuckle Puck & Real Friends,35.0,fall,Rock,Punk,8.0,False,2000,LIVE NATION MUSIC
76,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9cMbSFAJ,Hooligan Holiday (18+),35.0,winter,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
77,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9YKbOzwD,Cattle Decapitation (18+),30.0,fall,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
78,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9mw-lNNR,Pigeons Playing Ping Pong (18+),39.0,winter,Rock,Pop,6.0,True,2200,HOUSE OF BLUES CONCERTS (HOB)
79,KovZ917AEJz,MGM Music Hall at Fenway,vvG17Z9Un-sd9M,"Porno For Pyros - Horns, Thorns En Halos Farewell Tour",44.25,winter,Rock,Alternative Rock,8.0,False,5000,LIVE NATION MUSIC
80,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9U7vKbwb,Natalie Jane,20.0,winter,Pop,Pop,4.0,False,500,CROSSROADS PRESENTS
81,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9mwNHSne,Pigeons Playing Ping Pong (21+),46.5,winter,Rock,Pop,6.0,True,2200,HOUSE OF BLUES CONCERTS (HOB)
82,KovZpZA1EEJA,Boch Center Shubert Theatre,vvG17Z9UM6a7Ix,Rick Springfield & Richard Marx,111.5,winter,Rock,Pop,8.0,False,1500,PROMOTED BY VENUE
83,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9lTgnbkl,Umphrey's McGee: UMBowl,100.0,spring,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
84,KovZ917AxdQ,Big Night Live,vvG17Z9VphZVVc,Ryan Beatty,27.5,winter,Rock,Pop,6.0,False,2000,LIVE NATION MUSIC
85,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9lTsibej,Umphrey's McGee: UMBowl,100.0,spring,Rock,Pop,8.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
86,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9g5-2U0e,TALK - Lord of the Flies & Birds & Bees Tour,20.0,winter,Rock,Pop,6.0,False,933,CROSSROADS PRESENTS
87,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9S3R1wqs,Magic City Hippies - Winter Tour,34.0,winter,Rock,Pop,6.0,False,2200,HOUSE OF BLUES CONCERTS (HOB)
88,KovZ917AxdQ,Big Night Live,vvG17Z9RlzvyNh,It's Beginning To Look A Lot Like ALASKA ...A Christmas Show ( 18+ ),40.0,fall,Rock,Alternative Rock,8.0,True,2000,LIVE NATION MUSIC
89,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9UJiVxH-,Lyn Lapid - to love in the 21st century tour: the epilogue tour,22.0,winter,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
90,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9gFRpyGl,The Milk Carton Kids,30.0,winter,Rock,Pop,8.0,False,933,CROSSROADS PRESENTS
91,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9lNGtgXz,DURRY,18.0,fall,Rock,Alternative Rock,8.0,False,500,CROSSROADS PRESENTS
92,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9gde-wMm,Josh Ritter & the Royal City Band-Hello Starling 20th Anniversary Tour,40.0,winter,Rock,Pop,8.0,False,933,CROSSROADS PRESENTS
93,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9V3VWw6i,Thursday: War All The Time Live (18+),35.0,winter,Rock,Alternative Rock,8.0,True,933,CROSSROADS PRESENTS
94,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9Ulwp9Ht,Peter Hook & The Light - North American Tour 2024,37.5,summer,Rock,Pop,6.0,False,933,CROSSROADS PRESENTS
95,KovZpZAEAIvA,The Wilbur,vvG17Z9UhF7PRm,Alan Doyle: Welcome Home Tour w/ Special Guest Adam Baldwin,45.0,spring,Rock,Pop,8.0,False,1200,COMEDY CONNECTION
96,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9wDEha3J,Ericdoa - Dead On Arrival Tour,22.0,winter,Pop,Pop,6.0,False,933,CROSSROADS PRESENTS
97,KovZpZAEAIvA,The Wilbur,vvG17Z9SeDm0Z6,Direct from Sweden: The Music of ABBA,50.0,winter,Rock,Pop,8.0,False,1200,COMEDY CONNECTION
98,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9nEwf_S5,bar italia,18.0,fall,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
99,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9iOZ_Io0,TAUK  (18+),25.0,fall,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
100,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9UUnvKeP,O Positive: With A Little Help From My Friends Benefit Concert (18+),49.99,winter,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
101,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9IUb-3MO,Dylan Matthew: No Rain No Flowers Tour,20.0,fall,Pop,Pop,4.0,False,500,CROSSROADS PRESENTS
102,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9V9yqI7u,Leanna Firestone,25.0,fall,Pop,Pop,8.0,False,933,CROSSROADS PRESENTS
103,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9s5-19_6,lespecial w/ special guest Doom Flamingo,25.0,fall,Rock,Alternative Rock,8.0,False,933,CROSSROADS PRESENTS
104,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9gEI2U7O,Charlotte Sands - can we start over tour,22.5,spring,Pop,Pop,8.0,False,933,CROSSROADS PRESENTS
105,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9wrpfwIJ,milk.,18.0,fall,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
106,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9SR4i7VO,Dexter And The Moonrocks (18+),25.0,fall,Rock,Alternative Rock,8.0,True,933,CROSSROADS PRESENTS
107,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9IBcIKCI,Squid (18+),20.0,winter,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
108,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9YL4KN4B,Ryan Montbleau Band (18+),35.0,fall,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
109,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9gdvGwSH,Josh Ritter & the Royal City Band-Hello Starling 20th Anniversary Tour,40.0,winter,Rock,Pop,8.0,False,933,CROSSROADS PRESENTS
110,KovZ917AxdQ,Big Night Live,vvG17Z9sDeadc5,The Pink Floyd Laser Spectacular,38.5,winter,Rock,Pop,8.0,False,2000,LIVE NATION MUSIC
111,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9SpbbvsT,Christopher,22.0,winter,Pop,Pop,4.0,False,500,CROSSROADS PRESENTS
112,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9SIKgpDR,Meet Me @ The Altar: Say It To My Face Tour,25.0,winter,Rock,Alternative Rock,8.0,False,933,CROSSROADS PRESENTS
113,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9wT9F4QM,Bumpin Uglies (18+),22.0,winter,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
114,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9RbNwju8,Drop Nineteens (18+),30.0,spring,Rock,Alternative Rock,8.0,True,933,CROSSROADS PRESENTS
115,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9UNjkBUA,Matisyahu - Hold The Fire Tour 2024  (18+),36.0,winter,Rock,Alternative Rock,6.0,True,933,CROSSROADS PRESENTS
116,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9VDpT9Zo,CMAT,22.0,spring,Pop,Pop,8.0,False,500,CROSSROADS PRESENTS
117,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9V0ZRfoq, Kid Bloom: Inner Light Tour 2024 ,25.0,winter,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
118,KovZpZAEA7eA,Citizens House of Blues Boston,vvG17Z9mDSZIHO,Pigeons Playing Ping Pong 2 Day Package (21+),55.0,winter,Rock,Pop,6.0,True,2200,HOUSE OF BLUES CONCERTS (HOB)
119,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9gwKte7D,Jane Remover & quannnic,18.0,winter,Rock,Alternative Rock,8.0,False,500,CROSSROADS PRESENTS
120,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9UOZUhC3,PLVTINUM,16.0,winter,Pop,Pop,8.0,False,500,CROSSROADS PRESENTS
121,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9ghZDKmM,Ekkstacy,20.0,winter,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
122,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9VRIqPgd,Emo Night Brooklyn (21+),17.5,fall,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
123,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9gw2Mvb7,AJ Rafael,25.0,spring,Pop,Pop,8.0,False,500,CROSSROADS PRESENTS
124,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9UlBnbff,Club 90's Presents Bad Bunny Night (18+),21.5,winter,Pop,Pop,8.0,True,933,CROSSROADS PRESENTS
125,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9UGvZnG6,Rjd2 (18+),25.0,winter,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
126,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z91hmbWDB,Social House,22.0,spring,Pop,Pop,8.0,False,500,CROSSROADS PRESENTS
127,KovZpZAEAIvA,The Wilbur,vvG17Z9VMZo7hJ,John Lodge,62.5,winter,Rock,Pop,8.0,False,1200,COMEDY CONNECTION
128,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9g1yQdyW,The Rock and Roll Playhouse,18.0,fall,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
129,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9Sp-K3eS,The Coronas (18+),24.0,winter,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
130,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9gRiq6m0,The Floozies (18+): Porty Hard Tour with BUKU & Father Funk,25.0,winter,Rock,Pop,8.0,True,933,CROSSROADS PRESENTS
131,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9cUii4yi,Games We Play: Lifes Going Great Tour,21.0,spring,Rock,Alternative Rock,4.0,False,500,CROSSROADS PRESENTS
132,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9swsXx4H,Hannah Wicklund,20.0,winter,Pop,Pop,8.0,False,500,CROSSROADS PRESENTS
133,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17ZpUT4aVj9,Aaron and the Lord,20.0,winter,Rock,Alternative Rock,8.0,False,500,CROSSROADS PRESENTS
134,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9ikwL0es,Steve Mason (of The Beta Band) (18+),25.0,spring,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
135,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9gDfkbdO,Steve Rondo (18+),18.0,winter,Rock,Pop,8.0,True,500,CROSSROADS PRESENTS
136,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9gLcfVQC,Jonathan Roy,25.0,spring,Pop,Pop,8.0,False,500,CROSSROADS PRESENTS
137,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9gK4pUB4,Hush Club and Winkler,16.0,winter,Rock,Pop,8.0,False,500,CROSSROADS PRESENTS
138,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9U75-tdH,Caligulas Horse,25.0,winter,Rock,Alternative Rock,8.0,False,500,CROSSROADS PRESENTS
139,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9RTVUFpo,Juice,25.0,winter,Rock,Alternative Rock,8.0,False,933,CROSSROADS PRESENTS
140,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9M92v0zB,Rolling Sloans (21+),8.87,fall,Rock,Pop,8.0,True,933,LIVE NATION MUSIC
141,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9grtI3_z,The Fall of Troy (18+),25.0,fall,Rock,Alternative Rock,8.0,True,500,CROSSROADS PRESENTS
142,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9M6CZ4xV,Between You and Me,22.0,spring,Rock,Pop,8.0,False,500,LIVE NATION MUSIC
143,KovZpZA11JtA,Paradise Rock Club presented by Citizens,vvG17Z9Vwz23wN,Code Orange,25.0,winter,Rock,Alternative Rock,8.0,False,933,CROSSROADS PRESENTS
144,KovZpa2gne,TD Garden,vvG17Z9wxtVeNs,Olivia Rodrigo - GUTS world tour,124.5,spring,Pop,Pop,4.0,False,19580,PROMOTED BY VENUE
145,KovZpa2gne,TD Garden,vvG17Z9wzbBhdE,Olivia Rodrigo - GUTS world tour,124.5,spring,Pop,Pop,4.0,False,19580,PROMOTED BY VENUE
147,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9SS1kbA2,Augustana: Something Beautiful Tour,25.0,spring,Rock,Alternative Rock,4.0,False,500,CROSSROADS PRESENTS
151,KovZpapwne,Brighton Music Hall presented by Citizens,vvG17Z9VhX0M9b,Destroyer (Solo),25.0,spring,Rock,Alternative Rock,8.0,False,500,CROSSROADS PRESENTS
152,KovZ917AxdQ,Big Night Live,vvG17Z9UkW3Ult,Yonder Mountain String Band,32.5,winter,Rock,Alternative Rock,8.0,False,2000,LIVE NATION MUSIC
